gid	key	parent_key	parent_table	playback-scenario	text
gid_2016_05_07_nynmlb_sdnmlb_1	76	12	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670493083/1462683277792/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	77	12	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670493083/1462683277792/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	78	13	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670140783/1462683814744/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	79	13	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670140783/1462683814953/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	80	13	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670140783/1462683814953/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	81	13	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670140783/1462683814953/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	82	13	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670140783/1462683814953/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	83	13	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670140783/1462683814953/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	84	14	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/669918483/1462684829228/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	85	14	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669918483/1462684829430/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	86	14	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669918483/1462684829430/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	87	14	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669918483/1462684829430/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	88	14	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669918483/1462684829430/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	89	14	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669918483/1462684829430/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	90	15	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/669467783/1462686399381/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	91	15	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669467783/1462686399715/master_mobile.m3u8
